"id","userPrincipalName","userDisplayName","userType","isAdmin","isSsprRegistered","isSsprEnabled","isSsprCapable","isMfaRegistered","isMfaCapable","isPasswordlessCapable","methodsRegistered","isSystemPreferredAuthenticationMethodEnabled","systemPreferredAuthenticationMethods","userPreferredMethodForSecondaryAuthentication","lastUpdatedDateTime","MfaPhoneNumbers","MfaPhoneTypes","MfaSmsSignInStates"
"40090b0c-eac1-4a68-9a85-a8eaf379c33d","16286099@bonacu.onmicrosoft.com","16286099","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"503ba8cd-08a0-448b-b04a-198d0d071226","16286106@bonacu.onmicrosoft.com","16286106","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"1ba7c643-b12c-41a7-823e-71dcc5f6db93","16286234@bonacu.onmicrosoft.com","16286234","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"0e90a229-4ef4-4c27-bfc5-056c4a9d7204","16286294@bonacu.onmicrosoft.com","16286294","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"5cfb389c-ba96-42ca-9485-ee2081ccc9c1","16295325@bonacu.onmicrosoft.com","16295325","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"eab8caab-8d8d-4644-bc2a-5bcb1d4d6ab4","16297815@bonacu.onmicrosoft.com","16297815","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"85d2ad16-e411-46e9-8ae1-d1f12e60a4b5","16335243@bonacu.onmicrosoft.com","16335243","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"dafb37ec-43b4-4710-9aa5-c18b1f33ffe0","16362717@bonacu.onmicrosoft.com","16362717","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"8f6e59f7-a154-4951-98e4-6c815c302917","16369617@bonacu.onmicrosoft.com","16369617","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"76b0ab97-38fe-4bd4-94c0-29f7556b4711","16405568@bonacu.onmicrosoft.com","16405568","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:55 AM","","",""
"6cf5e9e8-38eb-4f00-82ea-6173c411a32e","16415371@bonacu.onmicrosoft.com","16415371","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"f643106c-152a-44ae-9c0b-7c230812cbee","16422929@bonacu.onmicrosoft.com","16422929","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"3ce253b4-2ecb-4cf4-9010-06d9caa04d49","16422994@bonacu.onmicrosoft.com","16422994","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:55 AM","","",""
"e220c2af-ea91-42fa-a918-9c0bc45c7222","16424636@bonacu.onmicrosoft.com","16424636","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"4d3b7278-05b3-4d6a-b290-b514c7e4be71","16434343@bonacu.onmicrosoft.com","16434343","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"a0fae673-1515-4da2-9df6-9b1531e8c367","16435601@bonacu.onmicrosoft.com","16435601","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"caae5bfa-64db-4ead-bc2c-aad1bb6784f5","16436733@bonacu.onmicrosoft.com","16436733","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"354c0277-7838-405a-b566-0b4ce45155dc","16438075@bonacu.onmicrosoft.com","16438075","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"a23f765f-8afa-4b4a-8287-a5cf3513b971","16451291@bonacu.onmicrosoft.com","16451291","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"7003e630-55e9-4e9c-abde-d6a7a81166f5","16460889@bonacu.onmicrosoft.com","16460889","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"8de7af46-2b0b-4040-9530-3a9cfb2392a9","16472132@bonacu.onmicrosoft.com","16472132","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"a022de01-c8fe-409f-88f8-70f5520e7ef2","16527471@bonacu.onmicrosoft.com","16527471","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"812bfa37-55bc-4b4e-bc32-6fc3dde70ebc","16527490@bonacu.onmicrosoft.com","16527490","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:55 AM","","",""
"724486ab-05af-40ba-839e-97ba80559b9e","16531544@bonacu.onmicrosoft.com","16531544","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"b87b0a13-478e-4945-9a71-ff3d779b6ec7","16563945@bonacu.onmicrosoft.com","16563945","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"5457ec01-4703-47fb-a265-1215e5700d15","16619785@bonacu.onmicrosoft.com","16619785","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"2db3ea71-f927-420a-b02b-97880e17bc17","16672131@bonacu.onmicrosoft.com","16672131","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"c3d05852-d280-491f-aa98-5a569131de6b","16694594@bonacu.onmicrosoft.com","16694594","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"54ea21c0-5bc3-443b-934c-c3339b94deb8","16698713@bonacu.onmicrosoft.com","16698713","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"24da9085-f440-4c8c-8b4d-a03ce42f0048","16707933@bonacu.onmicrosoft.com","16707933","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"f4121d9b-b0c5-40f8-9c03-fc4dcece9bf3","16737255@bonacu.onmicrosoft.com","16737255","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"86c5a471-54e8-49d2-86f2-cb5c57db27f3","16774063@bonacu.onmicrosoft.com","16774063","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"f9afcbbc-e3f5-4d6f-ba5f-2271f2642c0d","16788438@bonacu.onmicrosoft.com","16788438","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"b450af75-ee66-4898-84e7-dc60464dc083","16881755@bonacu.onmicrosoft.com","16881755","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"c37c497a-aa98-4e9f-b023-fbac0b04da7f","16943558@bonacu.onmicrosoft.com","16943558","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"1dd60fbb-84b0-4abd-857c-3198b5ea7d07","16958940@bonacu.onmicrosoft.com","16958940","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"d9b0f0a4-18bf-4216-8abb-047fb8131b31","16986962@bonacu.onmicrosoft.com","16986962","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:55 AM","","",""
"d93906ce-84ec-4ace-9e09-613ecde4c5fb","17026423@bonacu.onmicrosoft.com","17026423","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"3b95c422-1a72-4814-a27e-e2a5b5d3fc4d","17030956@bonacu.onmicrosoft.com","17030956","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"abfcdeff-4770-456f-9f34-563c45ae8efb","17038775@bonacu.onmicrosoft.com","17038775","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"38f6521b-8e54-4a52-bffb-66f6f9dddfc8","17050574@bonacu.onmicrosoft.com","17050574","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"10f167b2-a254-48cd-992e-63aea6f4543e","17076404@bonacu.onmicrosoft.com","17076404","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"8a2a53b6-f9c5-4527-84f4-b91837789b50","17091086@bonacu.onmicrosoft.com","17091086","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"f53596c0-9ce4-4a74-9ed8-8a05444fcb9b","17099648@bonacu.onmicrosoft.com","17099648","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"db956d5e-89ef-4fc2-b6af-bc552b7cf268","17109606@bonacu.onmicrosoft.com","17109606","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"042b4d0f-3663-4803-bd0d-cf848df68ec9","17115268@bonacu.onmicrosoft.com","17115268","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"b675f25f-ae0d-4995-9a10-3bfd71457ad5","17120760@bonacu.onmicrosoft.com","17120760","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"e756e933-78f4-4bb8-883c-fde8ba3616f7","17143484@bonacu.onmicrosoft.com","17143484","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"c0ef84d4-f1c4-4f91-ba81-0bdb5cf5fba4","17182946@bonacu.onmicrosoft.com","17182946","member","False","False","False","False","True","True","False","mobilePhone","True","Sms, Voice","sms","4/21/2025 4:29:55 AM","+1 7042497077","mobile","notAllowedByPolicy"
"07ec6d5f-da6b-4b0a-9836-5e4e6882671f","17186459@bonacu.onmicrosoft.com","17186459","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"4871fdad-5b44-4b9a-91ad-f0f1774e6a69","17190366@bonacu.onmicrosoft.com","17190366","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"f2264ee4-d25e-49db-8e38-d10e9df2bee3","17233069@bonacu.onmicrosoft.com","17233069","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/28/2025 8:55:52 PM","","",""
"5b9a02b2-3c64-49e6-88f7-0d781246c10a","17239070@bonacu.onmicrosoft.com","17239070","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"4d2fe21c-5b5e-4e86-bf40-4617c39ec208","17263847@bonacu.onmicrosoft.com","17263847","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"72fdada4-4f20-4144-9a4d-2c55070426ec","17472044@bonacu.onmicrosoft.com","17472044","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"cf69f018-0aca-4410-b95d-d2833f6707ff","17613793@bonacu.onmicrosoft.com","17613793","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"4bafa424-f9db-49c0-9b30-867f1ec7dfda","17627063@bonacu.onmicrosoft.com","17627063","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"1db63455-f8f8-46be-906b-57c2417ad023","17631844@bonacu.onmicrosoft.com","17631844","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"c9d8c4ab-c017-4710-a861-caa484230da3","17638718@bonacu.onmicrosoft.com","17638718","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"7f212dd1-d991-44cb-8a53-b93176380f7b","17659621@bonacu.onmicrosoft.com","17659621","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"bfa7b985-aba6-465c-8999-09ab8552c400","17717070@bonacu.onmicrosoft.com","17717070","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"a8b40fd6-d028-4395-9f70-b5be199addc1","17762415@bonacu.onmicrosoft.com","17762415","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"157ea581-9093-48a1-84bb-335999cb678c","17780374@bonacu.onmicrosoft.com","17780374","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"5a221967-f86f-4e64-9ea5-82f29b06c1dd","17800587@bonacu.onmicrosoft.com","17800587","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"7137d632-2496-4675-a542-3fe9c57c1e8a","17833649@bonacu.onmicrosoft.com","17833649","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"8b36df83-b159-4ade-b0a6-008cb9dcb1e9","17903722@bonacu.onmicrosoft.com","17903722","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"4046b70a-d55f-4745-8f91-c287724e973e","17914159@bonacu.onmicrosoft.com","17914159","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"de2e079d-a96a-49e5-a366-adbf12243ffd","17956344@bonacu.onmicrosoft.com","17956344","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"ae30d4ab-e39d-4ed6-ba5f-7f3c2a362892","17993866@bonacu.onmicrosoft.com","17993866","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:55 AM","","",""
"4e8b708d-3273-4ea5-b3f2-757878946ba0","18026440@bonacu.onmicrosoft.com","18026440","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"fa1ae5ea-bc6f-468e-92ce-f301a2eee2ae","18056018@bonacu.onmicrosoft.com","18056018","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"70eef382-4a3c-40fa-a6bc-416e006fe954","18061983@bonacu.onmicrosoft.com","18061983","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"4f2d900e-dfc8-49db-aa3f-610996fb74f3","18064236@bonacu.onmicrosoft.com","18064236","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"3fdda17c-1553-4e59-b470-7333368377ed","18075468@bonacu.onmicrosoft.com","18075468","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"28cb2bbd-9c7b-4f66-b726-2710f97e3697","18079017@bonacu.onmicrosoft.com","18079017","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:55 AM","","",""
"13298987-521d-4aec-9c54-f37331320363","18089312@bonacu.onmicrosoft.com","18089312","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"225ce0e4-c87d-4ce4-ac8c-30dd4656429e","18090504@bonacu.onmicrosoft.com","18090504","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"c7176bba-d5cc-4bdb-b6ce-d6b55795de75","18091255@bonacu.onmicrosoft.com","18091255","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"ee3b7cc6-5afe-4b7e-a56f-b2a3caba25f6","18096454@bonacu.onmicrosoft.com","18096454","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:58 AM","","",""
"caca4387-23f9-48a2-9a6d-67a82fb2c6bb","18100182@bonacu.onmicrosoft.com","18100182","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:58 AM","","",""
"1f07e53e-a7d1-4acb-8de1-1d53cf387bf2","18101067@bonacu.onmicrosoft.com","18101067","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:58 AM","","",""
"db3cd1d8-f793-4f7b-93f5-8226a0a1a193","18107779@bonacu.onmicrosoft.com","18107779","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:58 AM","","",""
"cbf2a51d-cc19-445d-81c3-4df165a33e12","18108894@bonacu.onmicrosoft.com","18108894","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"3cdfeb2e-f761-4d68-875c-9120ec0559af","18123126@bonacu.onmicrosoft.com","18123126","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"edafa81e-bd79-410d-9724-224e823bb859","18129013@bonacu.onmicrosoft.com","18129013","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:58 AM","","",""
"a9a9aefe-12fc-4998-8f26-2ce46c563e68","18131286@bonacu.onmicrosoft.com","18131286","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:58 AM","","",""
"edd9b676-e182-4828-9de7-9a99200598b8","18142401@bonacu.onmicrosoft.com","18142401","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"a74ee6da-4db9-4bba-958e-a721ef4ae9f0","18164003@bonacu.onmicrosoft.com","18164003","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"41d1ea3e-7737-4f02-a626-1119fdcb15ce","18167435@bonacu.onmicrosoft.com","18167435","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"019e27b8-bf3e-4e34-8b32-e2562f554791","18240535@bonacu.onmicrosoft.com","18240535","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:58 AM","","",""
"257bf776-56e3-420b-8a2f-a7b8e2e98a5a","18246091@bonacu.onmicrosoft.com","18246091","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"86dd10cd-9939-497e-8339-db3e6ee31f47","18277986@bonacu.onmicrosoft.com","18277986","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:58 AM","","",""
"93bb06be-95f2-47c3-b95a-18af2db25d48","18286823@bonacu.onmicrosoft.com","18286823","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:58 AM","","",""
"68d44f12-742e-4a7f-884a-fdb4a2a4b6de","18291939@bonacu.onmicrosoft.com","18291939","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"b102db55-6825-467d-9386-3ba2422950b0","18294604@bonacu.onmicrosoft.com","18294604","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:58 AM","","",""
"c50a045d-3df7-4d01-8dc4-2faf96313cba","18677611@bonacu.onmicrosoft.com","18677611","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:58 AM","","",""
"22e34c0e-ad14-4b10-92f6-f86caf99f432","18677740@bonacu.onmicrosoft.com","18677740","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"23e4de84-0755-4376-81f8-d494f94f32fd","18679807@bonacu.onmicrosoft.com","18679807","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"3d9b1eaa-59f6-4c64-831f-90dd82d04a5e","18680384@bonacu.onmicrosoft.com","18680384","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"9b42184e-050e-4fb1-8502-c2be8f3c887e","18681694@bonacu.onmicrosoft.com","18681694","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:58 AM","","",""
"83ee9d1b-b42a-41b6-ba0c-45d99e6bed5f","18695130@bonacu.onmicrosoft.com","18695130","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:58 AM","","",""
"22ab4dc9-07cb-48f9-91d3-27c2a134a5ec","18732318@bonacu.onmicrosoft.com","18732318","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:58 AM","","",""
"13390606-6a5c-4247-a7b9-023d9efc2535","18763218@bonacu.onmicrosoft.com","18763218","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 5:04:40 AM","","",""
"0321b2e2-c788-4edd-9c83-8cf3e3eba123","18792419@bonacu.onmicrosoft.com","18792419","member","False","False","False","False","True","True","False","mobilePhone, microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 5:04:40 AM","+33 758308172","mobile","notAllowedByPolicy"
"ccdae176-e7a4-4302-99f2-2791d52d0aa7","18794469@bonacu.onmicrosoft.com","18794469","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 5:04:40 AM","","",""
"428f5a17-4b92-49b1-9bbb-8275997d0ff6","18869255@bonacu.onmicrosoft.com","18869255","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 5:04:40 AM","","",""
"950162af-ae7d-413d-a532-f29265a18a7d","18900671@bonacu.onmicrosoft.com","18900671","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 5:04:40 AM","","",""
