"Activity","ActivityDateTime","AdditionalInfo","CorrelationId","DetectedDateTime","IPAddress","Id","LastUpdatedDateTime","City","CountryOrRegion","State","RequestId","RiskDetail","RiskEventType","RiskLevel","RiskState","DetectionTimingType","Source","TokenIssuerType","UserDisplayName","UserId","UserPrincipalName","AdditionalProperties"
"signin","2/23/2025 4:50:36 PM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","2063abf9-5896-4fa2-b1b6-92c52ce13049","2/23/2025 4:50:36 PM","172.205.146.219","46de11883b0083efd363fc262124a7798752b0bdf2a7bea898fe1cdc3094637e","2/23/2025 10:36:59 PM","Amsterdam","NL","Noord-Holland","92b5f4b7-1ede-4674-81b6-acd19c0c3d00","none","unfamiliarFeatures","low","atRisk","realtime","IdentityProtection","AzureAD","17659621","7f212dd1-d991-44cb-8a53-b93176380f7b","17659621@bonacu.onmicrosoft.com",""
"signin","2/23/2025 4:50:36 PM","[{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""relatedEventTimeInUtc"",""Value"":""2025-02-23T16:50:07.406138Z""},{""Key"":""relatedUserAgent"",""Value"":""""},{""Key"":""deviceInformation"",""Value"":""""},{""Key"":""relatedLocation"",""Value"":{""clientIP"":""2a02:8108:470d:3b00:bc9e:f222:c642:3cfe"",""latitude"":null,""longitude"":null,""asn"":null,""countryCode"":""DE"",""countryName"":null,""state"":null,""city"":null}},{""Key"":""requestId"",""Value"":""92b5f4b7-1ede-4674-81b6-acd19c0c3d00""},{""Key"":""correlationId"",""Value"":""2063abf9-5896-4fa2-b1b6-92c52ce13049""},{""Key"":""mitreTechniques"",""Value"":""T1078""}]","2063abf9-5896-4fa2-b1b6-92c52ce13049","2/23/2025 9:28:50 PM","172.205.146.219","c53f0984f9a4b31e8220570ddeccedb67d79fc459762ba9255877aeea0206835","2/23/2025 10:36:59 PM","Amsterdam","NL","Noord-Holland","92b5f4b7-1ede-4674-81b6-acd19c0c3d00","none","unlikelyTravel","low","atRisk","offline","IdentityProtection","AzureAD","17659621","7f212dd1-d991-44cb-8a53-b93176380f7b","17659621@bonacu.onmicrosoft.com",""
"signin","3/3/2025 4:13:28 PM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","1edc96f7-c5f0-4501-a560-49e2d79d9077","3/3/2025 4:13:28 PM","172.205.146.219","26aa1a9a533edab115776233d110167c7b1a82f117fe34d596073502e9e7d967","3/3/2025 4:15:02 PM","Amsterdam","NL","Noord-Holland","87a4bdc3-773d-4e66-b875-eac3ce25bf00","none","unfamiliarFeatures","low","atRisk","realtime","IdentityProtection","AzureAD","17803263","c6be820c-d2b3-42d6-b9ae-f8a66cf54eb4","17803263@bonacu.onmicrosoft.com",""
"signin","3/17/2025 9:09:06 AM","[{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""relatedEventTimeInUtc"",""Value"":""2025-03-17T09:08:30.102892Z""},{""Key"":""relatedUserAgent"",""Value"":""""},{""Key"":""deviceInformation"",""Value"":""""},{""Key"":""relatedLocation"",""Value"":{""clientIP"":""84.167.138.233"",""latitude"":null,""longitude"":null,""asn"":null,""countryCode"":""DE"",""countryName"":null,""state"":null,""city"":null}},{""Key"":""requestId"",""Value"":""da74ff5b-3baa-4540-b620-5bb8205b0e00""},{""Key"":""correlationId"",""Value"":""596ba792-1596-4a7c-b1ef-9485a7cab36b""},{""Key"":""mitreTechniques"",""Value"":""T1078""}]","596ba792-1596-4a7c-b1ef-9485a7cab36b","3/17/2025 10:28:42 PM","172.205.146.219","cc2bbe843ceec29ab5d9cea2c4ff312adbf67a36e03dc59029bb0cb941f7275f","3/17/2025 11:03:19 PM","Amsterdam","NL","Noord-Holland","da74ff5b-3baa-4540-b620-5bb8205b0e00","none","unlikelyTravel","low","atRisk","offline","IdentityProtection","AzureAD","18680384","3d9b1eaa-59f6-4c64-831f-90dd82d04a5e","18680384@bonacu.onmicrosoft.com",""
"signin","3/26/2025 5:46:43 PM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","846f0b9d-53eb-43ad-afb6-849fd5563598","3/26/2025 5:46:43 PM","172.205.146.219","6a6f439736c16c03f906e4a8e06899533ca8902b933de1fa70c88aae585abc58","3/26/2025 11:07:05 PM","Amsterdam","NL","Noord-Holland","4029c107-62e2-4e49-a340-fe8994663200","none","unfamiliarFeatures","medium","atRisk","realtime","IdentityProtection","AzureAD","blackhat01","7944667d-060c-48bd-8d4a-6d67e4636de7","blackhat01@bonacu.onmicrosoft.com",""
"signin","3/26/2025 5:50:25 PM","[{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""relatedEventTimeInUtc"",""Value"":""2025-03-26T17:31:32.975087Z""},{""Key"":""relatedUserAgent"",""Value"":""""},{""Key"":""deviceInformation"",""Value"":""""},{""Key"":""relatedLocation"",""Value"":{""clientIP"":""173.72.158.7"",""latitude"":null,""longitude"":null,""asn"":null,""countryCode"":""US"",""countryName"":null,""state"":null,""city"":null}},{""Key"":""requestId"",""Value"":""b34a0bad-6b83-4883-bd12-ec045b529b00""},{""Key"":""correlationId"",""Value"":""b5baf516-f944-4a31-abd2-0eefc9ee9410""},{""Key"":""mitreTechniques"",""Value"":""T1078""}]","b5baf516-f944-4a31-abd2-0eefc9ee9410","3/26/2025 10:50:44 PM","172.205.146.219","4d47d4bc477a26c6473d77278185f63b59e5d3dc78c68d65eee7f7e7ad2fd8c1","3/26/2025 11:15:28 PM","Amsterdam","NL","Noord-Holland","b34a0bad-6b83-4883-bd12-ec045b529b00","none","unlikelyTravel","low","atRisk","offline","IdentityProtection","AzureAD","blackhat04","f1727a40-88bb-4a6e-b77b-abd4177a8d7a","blackhat04@bonacu.onmicrosoft.com",""
"signin","3/26/2025 5:50:14 PM","[{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""relatedEventTimeInUtc"",""Value"":""2025-03-26T17:18:02.787007Z""},{""Key"":""relatedUserAgent"",""Value"":""""},{""Key"":""deviceInformation"",""Value"":""""},{""Key"":""relatedLocation"",""Value"":{""clientIP"":""168.93.55.231"",""latitude"":null,""longitude"":null,""asn"":null,""countryCode"":""US"",""countryName"":null,""state"":null,""city"":null}},{""Key"":""requestId"",""Value"":""b85b55e2-9620-4ee8-88da-f0645f04a200""},{""Key"":""correlationId"",""Value"":""e34468cc-5bb9-4627-b086-4d3153e68bf5""},{""Key"":""mitreTechniques"",""Value"":""T1078""}]","e34468cc-5bb9-4627-b086-4d3153e68bf5","3/26/2025 10:50:44 PM","172.205.146.219","6db84e6edebef2edb82da039b261816fdbc4fad3883f1e625784df2da3aff95d","3/26/2025 11:57:17 PM","Amsterdam","NL","Noord-Holland","b85b55e2-9620-4ee8-88da-f0645f04a200","none","unlikelyTravel","low","atRisk","offline","IdentityProtection","AzureAD","blackhat02","245e1393-2529-44d6-89d2-e4a12f6be086","blackhat02@bonacu.onmicrosoft.com",""
"signin","4/15/2025 8:15:59 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","4282849e-faa7-4807-a1b6-34c2c02a1f20","4/15/2025 8:15:59 AM","194.110.115.55","75c61ead9df23b1668a1e52b72cc4a0aa23cd9ce4b8697a136186cf0ee92eec1","4/15/2025 8:17:45 AM","Zaventem","BE","Vlaams-Brabant","b9056e69-384a-47f3-a00c-1f32d6fa4d00","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","low","remediated","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
"signin","4/15/2025 8:16:21 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","cce1e028-38b2-46ff-849b-cb24a935e89a","4/15/2025 8:16:21 AM","194.110.115.55","6de04e0fe1d9c0c9f7f54da7b3519f1428c7b6b61b9be5e89e745f58c6c76400","4/15/2025 8:19:38 AM","Zaventem","BE","Vlaams-Brabant","16ee80e6-3486-4d10-ad4e-7f8ac9408c00","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","low","remediated","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
"signin","4/16/2025 6:03:06 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","96be6d9c-42c5-4a2d-a05e-2d635f0fcc5c","4/16/2025 6:03:06 AM","194.110.115.19","8dcf57ba7dea475c36400a1f2ddacb9d7a6d46a8fdc8cd96b8d5142887fb299f","4/16/2025 6:06:38 AM","Zaventem","BE","Vlaams-Brabant","63bfc877-90be-448d-b9e3-c1b803b4ad00","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","realtime","IdentityProtection","AzureAD","Mary Davis","1c49dbe0-ade6-4c02-b1bd-162c3e00dbd2","davism@bonacu.onmicrosoft.com",""
"signin","4/16/2025 8:08:57 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","01963da4-dbe4-7ca8-a89f-061045348f8c","4/16/2025 8:08:57 AM","154.47.16.50","54be6931a4d9f607115d96b929f92fe074e8978717709ad3bd28d13aa84c9b36","4/16/2025 8:10:08 AM","Bogota","CO","Distrito Capital","882cf1ee-d6b1-446e-9819-41fa8bb3ad00","none","anonymizedIPAddress","medium","atRisk","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
"signin","4/16/2025 8:10:39 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","01963da6-6ba9-73e1-861b-792f232cd78e","4/16/2025 8:10:39 AM","154.47.16.50","cb94b8aecec121c12a4d37134ca4f9162b4cd7bb10d27af3b28560190579666e","4/16/2025 8:12:24 AM","Bogota","CO","Distrito Capital","882cf1ee-d6b1-446e-9819-41fa2ecead00","none","anonymizedIPAddress","medium","atRisk","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
"signin","4/16/2025 8:25:57 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","70bde423-ede0-4d3e-9349-9c87c16268e8","4/16/2025 8:25:57 AM","194.110.115.7","b401d4a83e1445563498bcc6df6d98aa678d766da26676aab17500c850959da4","4/16/2025 8:27:55 AM","Zaventem","BE","Vlaams-Brabant","2f284bea-24f5-4337-8ade-a3ac02498a00","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
"signin","4/16/2025 8:26:33 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","70bde423-ede0-4d3e-9349-9c87c16268e8","4/16/2025 8:26:33 AM","194.110.115.7","da31fec45e84db4e1c7d9ef4ebb9dcf81124bfb129dad25d1c32d95161313e4b","4/16/2025 8:29:19 AM","Zaventem","BE","Vlaams-Brabant","fdae530f-aa20-41fe-b018-a33b30a30400","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
"signin","4/16/2025 8:28:30 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","b28cb1dd-bda2-44b9-a6b5-29b8a86a3669","4/16/2025 8:28:30 AM","154.47.16.42","4101a6cbea82707be054e6a6119117b0a5caca0672be61d8acf474822e877286","4/16/2025 8:31:32 AM","Bogota","CO","Distrito Capital","73a9e90a-9ec4-4bfc-8f4a-c48bfd5fa900","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
"signin","4/16/2025 8:37:11 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","cab2054b-ddc7-44fc-9770-c895f7fc1f61","4/16/2025 8:37:11 AM","154.47.16.42","54c24ea9c62144a283f1f59766a42a3fd5780c13ebc28c3783678381784f9e14","4/16/2025 8:40:55 AM","Bogota","CO","Distrito Capital","cc20589c-f70a-44c3-b505-edc6bd669e00","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
"signin","4/16/2025 8:47:12 AM","[{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0""},{""Key"":""mitreTechniques"",""Value"":""T1090.003,T1078""}]","9625200d-fc7d-436a-93c7-d4c25046e769","4/16/2025 8:47:12 AM","154.47.16.42","7d2b45ee4896d4e1cf7b0721ee8920fddf56dff61daa4d738ebaeacfd90e5311","4/16/2025 8:51:03 AM","Bogota","CO","Distrito Capital","6fcaee08-13d3-4150-a58a-251f0ddd3800","userPassedMFADrivenByRiskBasedPolicy","anonymizedIPAddress","medium","remediated","realtime","IdentityProtection","AzureAD","James Thomas","48e06c3e-2adf-4964-abcd-66a8b57b6091","jthomas@bonacu.onmicrosoft.com",""
